               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014446,            0.065462,           0.0046546,             0.95193,             0.90319,             0.97016,             0.89458,            0.011393,            0.035651,           0.0024487,             0.00099,             0.00099,             0.09109
                   1,            0.012362,            0.024535,           0.0019048,             0.97581,             0.98385,             0.99183,             0.89428,            0.011994,            0.022737,          0.00081544,             0.00199,             0.00199,             0.08209
                   2,            0.013722,            0.022568,           0.0014414,             0.98794,             0.98555,              0.9935,             0.90231,            0.012634,             0.02084,          0.00069077,             0.00299,             0.00299,             0.07309
                   3,            0.014137,            0.020214,           0.0014053,             0.98922,             0.99151,             0.99431,             0.91239,            0.012609,            0.020155,          0.00055766,             0.00399,             0.00399,             0.06409
                   4,            0.014374,            0.020182,           0.0011319,              0.9953,             0.98812,             0.99449,             0.91296,            0.014905,            0.020822,          0.00052125,           0.0049899,           0.0049899,             0.05509
                   5,            0.015685,            0.020234,           0.0010834,             0.99608,              0.9898,             0.99479,             0.90731,            0.011983,            0.019675,          0.00047743,           0.0059899,           0.0059899,             0.04609
                   6,            0.015267,            0.019743,          0.00094158,               0.997,             0.99236,              0.9949,             0.89066,            0.015823,            0.021062,          0.00043906,           0.0069898,           0.0069898,             0.03709
                   7,            0.017903,            0.020487,          0.00082711,             0.99437,             0.99913,             0.99494,              0.8736,            0.013552,            0.019967,          0.00041423,           0.0079897,           0.0079897,             0.02809
                   8,            0.017736,            0.021143,          0.00078585,             0.99878,             0.99491,             0.99498,             0.86706,            0.015205,            0.021164,          0.00043127,           0.0089895,           0.0089895,             0.01909
                   9,            0.016369,            0.020877,          0.00092016,             0.99777,              0.9983,               0.995,               0.871,            0.013795,            0.022056,          0.00048312,           0.0099893,           0.0099893,            0.010089
                  10,            0.016991,            0.022053,          0.00089251,             0.99693,             0.99915,             0.99499,             0.89731,            0.012261,            0.018628,          0.00056148,           0.0099991,           0.0099991,           0.0099991
                  11,            0.015328,            0.020371,          0.00096804,             0.99874,             0.99727,             0.99493,             0.84377,            0.015215,            0.020812,          0.00051435,           0.0099991,           0.0099991,           0.0099991
                  12,            0.014673,            0.019498,          0.00087437,             0.99743,                   1,               0.995,             0.88436,            0.012777,            0.020181,          0.00057208,            0.009999,            0.009999,            0.009999
                  13,            0.014116,            0.020409,           0.0011544,             0.99886,              0.9983,             0.99499,             0.88667,            0.012339,            0.017561,          0.00061602,           0.0099988,           0.0099988,           0.0099988
                  14,            0.012879,            0.019754,          0.00088425,               0.998,              0.9983,             0.99498,             0.89813,            0.011333,            0.018002,          0.00052187,           0.0099985,           0.0099985,           0.0099985
