               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11569,            0.062381,             0.15859,                   0,                   0,                   0,                   0,            0.095685,            0.081803,              0.1554,             0.00318,             0.00318,             0.07138
                   1,            0.076897,            0.080703,             0.15509,           0.0063739,             0.03912,           0.0010246,           0.0003575,            0.062956,            0.046759,             0.15869,             0.00637,             0.00637,             0.04267
                   2,            0.061432,            0.042146,             0.15562,           0.0006229,            0.055205,           0.0014207,          0.00060208,            0.051193,            0.034518,             0.15498,             0.00956,             0.00956,             0.01396
                   3,            0.051269,            0.030316,             0.15471,           0.0008382,            0.059678,           0.0010315,          0.00066082,            0.039824,            0.028187,             0.15451,                0.01,                0.01,                0.01
                   4,            0.039973,            0.025728,             0.15442,          0.00057315,            0.048182,           0.0018813,           0.0011705,            0.035071,            0.025543,             0.15428,                0.01,                0.01,                0.01
                   5,             0.03497,            0.024334,             0.15429,          0.00032016,            0.017896,          0.00041372,          0.00029249,            0.027326,            0.025266,             0.15408,                0.01,                0.01,                0.01
                   6,            0.029437,            0.022899,             0.15415,          0.00037129,            0.016943,          0.00045587,          0.00039295,            0.020284,             0.02113,             0.15399,           0.0099999,           0.0099999,           0.0099999
                   7,            0.026656,            0.020739,             0.15406,          0.00065739,             0.01417,          0.00063075,          0.00048764,            0.024441,             0.02178,             0.15391,           0.0099999,           0.0099999,           0.0099999
                   8,            0.024794,            0.021221,             0.15392,           0.0012151,            0.020105,           0.0017425,           0.0013873,            0.017985,            0.020961,             0.15386,           0.0099999,           0.0099999,           0.0099999
                   9,            0.023995,            0.020775,              0.1539,          0.00095551,            0.014072,           0.0010514,          0.00092631,            0.016838,            0.020871,             0.15381,           0.0099999,           0.0099999,           0.0099999
                  10,            0.022887,            0.019482,             0.15384,          0.00055945,            0.012405,           0.0006749,          0.00057139,            0.022354,            0.020844,             0.15373,           0.0099998,           0.0099998,           0.0099998
                  11,             0.02353,            0.019861,             0.15378,          0.00093195,            0.011615,           0.0008696,          0.00069898,            0.021476,            0.021064,             0.15368,           0.0099998,           0.0099998,           0.0099998
