               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02279,            0.084929,            0.031764,                   1,                 0.5,             0.54871,             0.52795,            0.013291,            0.070618,            0.030927,             0.00099,             0.00099,             0.09109
                   1,            0.014096,            0.039895,             0.04427,             0.43302,             0.82943,             0.75601,             0.66387,             0.01326,            0.036659,            0.025518,             0.00199,             0.00199,             0.08209
                   2,             0.01603,            0.033962,            0.025661,             0.60826,             0.77113,             0.77414,             0.69386,            0.012296,            0.029554,           0.0092383,             0.00299,             0.00299,             0.07309
                   3,            0.016902,            0.027904,            0.009917,             0.78891,             0.89786,             0.79425,             0.69785,            0.012868,            0.028243,           0.0041751,             0.00399,             0.00399,             0.06409
                   4,             0.01706,            0.027243,           0.0054886,             0.78947,             0.89967,             0.80459,              0.6982,            0.015955,             0.02829,           0.0029986,           0.0049899,           0.0049899,             0.05509
                   5,            0.018034,            0.025371,           0.0037481,             0.76996,             0.94983,             0.81208,             0.67768,            0.016445,            0.027816,            0.002057,           0.0059899,           0.0059899,             0.04609
                   6,            0.017182,            0.025104,           0.0030811,             0.80549,             0.88963,             0.81952,             0.70295,            0.013766,            0.025709,           0.0015413,           0.0069898,           0.0069898,             0.03709
                   7,            0.020073,            0.025086,           0.0026359,             0.78542,             0.94631,             0.82773,             0.65753,            0.019733,            0.026384,           0.0012078,           0.0079897,           0.0079897,             0.02809
                   8,            0.023131,            0.026135,            0.002721,             0.79467,             0.93531,             0.83126,             0.67741,             0.01785,            0.025571,           0.0012244,           0.0089895,           0.0089895,             0.01909
                   9,            0.019541,            0.026621,           0.0023415,             0.80968,             0.91351,             0.83859,             0.67423,            0.018091,            0.026151,           0.0011085,           0.0099893,           0.0099893,            0.010089
                  10,             0.02158,            0.027348,           0.0025934,             0.80121,             0.94649,             0.84541,             0.72929,            0.012708,            0.023955,          0.00083927,           0.0099991,           0.0099991,           0.0099991
                  11,            0.017343,            0.024991,           0.0016597,             0.81529,              0.9028,             0.85443,             0.63447,            0.019781,            0.032501,          0.00080041,           0.0099991,           0.0099991,           0.0099991
                  12,            0.017857,            0.025156,           0.0017318,             0.81443,             0.94482,             0.86802,             0.75201,            0.013723,            0.023374,          0.00056107,            0.009999,            0.009999,            0.009999
                  13,            0.017558,             0.02594,           0.0016815,             0.83244,              0.9398,              0.8873,             0.70981,            0.015884,            0.026606,          0.00078688,           0.0099988,           0.0099988,           0.0099988
                  14,            0.015313,            0.024952,           0.0017834,             0.85176,             0.93808,             0.90889,             0.78461,            0.012862,             0.02307,          0.00084897,           0.0099985,           0.0099985,           0.0099985
                  15,             0.01535,            0.024902,           0.0016492,             0.86258,             0.94816,             0.92864,              0.8044,            0.011858,            0.021425,           0.0006959,           0.0099983,           0.0099983,           0.0099983
                  16,            0.016199,            0.025479,           0.0018276,             0.85868,             0.95485,             0.91841,             0.79434,            0.014822,            0.024133,          0.00069017,            0.009998,            0.009998,            0.009998
                  17,            0.018337,            0.025094,           0.0022283,             0.85647,             0.95056,             0.91666,             0.75898,            0.015616,            0.023428,           0.0008908,           0.0099978,           0.0099978,           0.0099978
                  18,            0.019165,            0.022684,           0.0028545,             0.85434,             0.97032,             0.92676,              0.7633,            0.014453,            0.021803,          0.00096166,           0.0099975,           0.0099975,           0.0099975
                  19,            0.017724,            0.022929,           0.0024119,             0.89606,             0.95652,              0.9411,             0.77768,            0.014408,            0.021167,           0.0008378,           0.0099972,           0.0099972,           0.0099972
                  20,             0.01868,            0.023073,           0.0029889,             0.90399,             0.93434,             0.94919,             0.75588,             0.01708,             0.02138,           0.0011643,           0.0099969,           0.0099969,           0.0099969
                  21,            0.016705,            0.020622,           0.0021402,             0.93322,             0.94983,             0.96148,             0.82272,            0.012667,            0.019957,          0.00076479,           0.0099965,           0.0099965,           0.0099965
                  22,            0.014489,            0.019547,            0.002729,             0.93012,             0.94649,             0.96492,             0.82117,            0.011949,            0.018448,          0.00071158,           0.0099962,           0.0099962,           0.0099962
                  23,            0.014624,            0.021267,           0.0026844,             0.93395,             0.93527,             0.96248,             0.82617,            0.012062,            0.018453,           0.0011266,           0.0099958,           0.0099958,           0.0099958
                  24,            0.014834,            0.020424,           0.0027323,             0.93724,             0.95819,             0.97015,             0.84393,            0.011595,             0.01901,          0.00083632,           0.0099954,           0.0099954,           0.0099954
                  25,            0.017033,            0.022936,           0.0024434,             0.89647,             0.97933,             0.95659,             0.76982,            0.014935,             0.02197,           0.0010455,            0.009995,            0.009995,            0.009995
                  26,            0.019595,            0.022588,           0.0037134,             0.91344,             0.97806,             0.96301,             0.81908,            0.013392,            0.019805,           0.0010815,           0.0099946,           0.0099946,           0.0099946
                  27,            0.016936,            0.021051,           0.0035957,             0.94679,             0.96321,             0.97351,             0.81668,            0.012884,            0.017692,           0.0011249,           0.0099941,           0.0099941,           0.0099941
                  28,            0.016757,             0.02053,           0.0029939,             0.94764,              0.9699,             0.97671,             0.79551,             0.01496,            0.018965,          0.00086499,           0.0099937,           0.0099937,           0.0099937
                  29,            0.016828,            0.021754,           0.0030752,             0.96861,             0.95987,             0.98256,             0.77736,            0.015847,             0.01832,          0.00079111,           0.0099932,           0.0099932,           0.0099932
                  30,            0.014567,            0.019462,           0.0025048,             0.95443,             0.97868,             0.98386,             0.86077,            0.011681,            0.016821,           0.0011722,           0.0099927,           0.0099927,           0.0099927
                  31,            0.014302,            0.018196,           0.0037593,             0.95899,             0.96149,             0.98191,             0.82883,            0.014389,            0.019174,           0.0010699,           0.0099922,           0.0099922,           0.0099922
                  32,            0.016447,            0.020407,           0.0023291,             0.94747,             0.96504,             0.98015,             0.80488,            0.015886,            0.022143,           0.0018539,           0.0099917,           0.0099917,           0.0099917
                  33,             0.01804,            0.021548,           0.0040498,             0.96388,             0.96657,             0.97894,             0.83995,            0.012983,            0.019241,           0.0017266,           0.0099911,           0.0099911,           0.0099911
                  34,            0.016473,            0.021437,           0.0046811,              0.9676,             0.96945,             0.98776,             0.84323,            0.012438,            0.016468,           0.0013366,           0.0099906,           0.0099906,           0.0099906
                  35,            0.016283,            0.021759,            0.003221,             0.96776,             0.95512,             0.98487,             0.86086,            0.010981,            0.018395,           0.0013326,             0.00999,             0.00999,             0.00999
                  36,            0.015757,            0.020897,           0.0025379,             0.97576,             0.97144,             0.98438,              0.7579,            0.017782,            0.019018,          0.00090059,           0.0099894,           0.0099894,           0.0099894
                  37,            0.019008,            0.022607,           0.0022052,              0.9851,             0.97651,             0.99103,             0.79984,            0.016538,              0.0165,          0.00065083,           0.0099888,           0.0099888,           0.0099888
                  38,            0.018788,            0.021061,           0.0032013,             0.96977,             0.97993,             0.99227,             0.80518,            0.015205,            0.016575,          0.00088685,           0.0099881,           0.0099881,           0.0099881
                  39,            0.017232,             0.01969,           0.0028257,             0.96152,             0.97911,             0.98925,             0.83988,             0.01355,            0.015925,           0.0012285,           0.0099875,           0.0099875,           0.0099875
                  40,            0.016511,             0.02059,           0.0026709,             0.97972,             0.96428,             0.98692,             0.84495,            0.012248,            0.015673,           0.0012901,           0.0099868,           0.0099868,           0.0099868
                  41,            0.016377,            0.019234,           0.0028451,             0.97854,             0.97199,             0.98677,             0.84581,            0.012247,            0.015269,           0.0014372,           0.0099861,           0.0099861,           0.0099861
                  42,            0.017257,            0.018752,           0.0030711,             0.97683,             0.98412,             0.99202,             0.83727,            0.012225,             0.01561,            0.001068,           0.0099854,           0.0099854,           0.0099854
                  43,            0.016225,            0.018861,           0.0024209,             0.98431,             0.97571,             0.99264,             0.81669,            0.015841,             0.01704,           0.0010193,           0.0099847,           0.0099847,           0.0099847
                  44,            0.017974,             0.02014,           0.0020792,             0.98113,             0.98868,             0.99319,             0.81052,            0.016043,            0.016711,           0.0010277,            0.009984,            0.009984,            0.009984
                  45,            0.016094,            0.019222,            0.002452,             0.98067,             0.99541,             0.99406,             0.83674,            0.014288,            0.015541,          0.00088113,           0.0099832,           0.0099832,           0.0099832
                  46,             0.01568,            0.017933,           0.0027423,             0.98288,             0.98412,             0.99329,             0.84417,            0.013619,            0.016275,           0.0011176,           0.0099824,           0.0099824,           0.0099824
                  47,            0.015186,             0.01832,           0.0023224,             0.99153,             0.97207,             0.99359,               0.864,            0.013056,            0.015509,           0.0011115,           0.0099817,           0.0099817,           0.0099817
                  48,            0.014465,            0.019871,             0.00251,             0.99116,             0.96198,              0.9923,             0.87051,            0.011776,            0.017096,           0.0011417,           0.0099809,           0.0099809,           0.0099809
                  49,            0.015289,            0.018688,           0.0021286,             0.98654,             0.98257,             0.99386,             0.85995,            0.014456,            0.016441,          0.00088792,             0.00998,             0.00998,             0.00998
