               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09978,            0.061517,             0.10876,           0.0040273,            0.036462,            0.004848,           0.0016875,            0.068907,             0.08854,             0.10535,           0.0033258,           0.0033258,            0.070067
                   1,            0.062711,            0.067089,             0.10328,             0.20689,             0.14767,            0.011278,           0.0046033,            0.060174,            0.047189,             0.10389,           0.0066591,           0.0066591,            0.040067
                   2,            0.060312,            0.036008,             0.10181,            0.003671,              0.2337,           0.0082108,           0.0033282,            0.063344,            0.036757,             0.10154,           0.0099923,           0.0099923,            0.010067
                   3,            0.049713,            0.028135,            0.099088,           0.0085182,             0.53608,            0.022005,             0.01298,             0.03639,            0.034119,             0.10004,           0.0099994,           0.0099994,           0.0099994
                   4,            0.038655,            0.026099,            0.099653,           0.0092099,              0.4141,            0.027432,            0.017868,            0.029313,            0.029326,            0.098633,           0.0099994,           0.0099994,           0.0099994
                   5,             0.03162,            0.023085,            0.096983,           0.0095844,             0.56969,            0.031069,            0.020435,            0.025084,            0.027596,            0.097462,            0.009999,            0.009999,            0.009999
                   6,            0.030891,            0.023472,             0.09829,            0.050273,              0.2685,            0.035955,            0.022933,            0.026078,            0.027598,            0.096644,           0.0099985,           0.0099985,           0.0099985
                   7,            0.029639,            0.023593,            0.096488,            0.098192,             0.27395,            0.041443,            0.027898,            0.024353,            0.026476,            0.095549,           0.0099978,           0.0099978,           0.0099978
                   8,            0.024889,            0.022135,            0.096882,             0.51241,             0.12959,             0.05145,            0.043682,            0.017969,            0.024495,            0.093808,            0.009997,            0.009997,            0.009997
                   9,            0.024383,            0.023336,            0.096231,             0.71436,            0.086348,            0.058537,            0.045629,            0.017445,            0.024032,            0.091444,           0.0099961,           0.0099961,           0.0099961
                  10,            0.023004,            0.021272,            0.093598,              0.1804,             0.17776,            0.063288,            0.050855,             0.01693,            0.023846,            0.090357,            0.009995,            0.009995,            0.009995
                  11,            0.025062,            0.022817,            0.095186,             0.57308,            0.090954,            0.071257,            0.054222,            0.018663,            0.024451,            0.089391,           0.0099938,           0.0099938,           0.0099938
                  12,            0.025373,            0.021954,            0.092226,             0.71974,             0.10936,            0.088899,            0.067502,            0.020246,            0.024999,             0.08841,           0.0099925,           0.0099925,           0.0099925
                  13,            0.023999,            0.021306,            0.090129,             0.77022,               0.104,             0.10351,            0.082546,            0.018032,            0.024061,            0.087496,           0.0099911,           0.0099911,           0.0099911
                  14,            0.021897,            0.019593,             0.08946,             0.70596,              0.1398,             0.11433,            0.096454,            0.014787,             0.02281,            0.086587,           0.0099896,           0.0099896,           0.0099896
                  15,            0.021158,            0.019322,            0.089918,             0.70411,             0.13858,             0.12977,             0.10241,            0.019356,            0.024637,            0.085529,           0.0099879,           0.0099879,           0.0099879
                  16,            0.021133,            0.018615,            0.087984,             0.66862,             0.17778,             0.14474,             0.12083,            0.015814,            0.023215,            0.084463,           0.0099861,           0.0099861,           0.0099861
                  17,            0.020345,            0.019667,            0.089042,             0.71429,             0.18661,             0.17342,             0.13923,            0.020403,             0.02521,            0.083479,           0.0099842,           0.0099842,           0.0099842
                  18,            0.021597,            0.019776,            0.087504,              0.7887,             0.17232,             0.19092,             0.13572,            0.018942,            0.023656,            0.082346,           0.0099822,           0.0099822,           0.0099822
                  19,            0.021167,            0.019039,            0.086827,             0.90326,             0.13518,             0.19965,             0.15809,            0.014449,            0.021962,            0.080895,             0.00998,             0.00998,             0.00998
                  20,            0.020443,             0.02092,            0.086738,             0.93382,             0.13631,             0.21267,             0.15614,             0.01944,            0.023419,            0.079561,           0.0099778,           0.0099778,           0.0099778
                  21,            0.020808,            0.018888,            0.084255,             0.95214,             0.13594,             0.22735,             0.18571,            0.018902,            0.023885,            0.078402,           0.0099753,           0.0099753,           0.0099753
                  22,            0.020842,            0.019601,            0.083841,             0.77437,             0.21115,             0.23712,             0.17997,            0.016056,            0.022988,             0.07728,           0.0099728,           0.0099728,           0.0099728
                  23,             0.02092,            0.019104,            0.083433,             0.78603,             0.20203,              0.2475,             0.18502,            0.019864,            0.024556,            0.075963,           0.0099702,           0.0099702,           0.0099702
                  24,            0.022544,            0.020738,            0.083488,             0.89743,             0.17664,             0.27394,             0.22317,            0.017016,            0.023489,            0.074604,           0.0099674,           0.0099674,           0.0099674
                  25,            0.019189,            0.019179,            0.079481,             0.64202,             0.29703,             0.27379,             0.21304,            0.017457,            0.023279,            0.072636,           0.0099645,           0.0099645,           0.0099645
                  26,            0.019967,            0.019643,            0.081228,             0.75972,             0.25407,             0.28857,             0.19691,            0.018689,            0.022767,            0.070877,           0.0099615,           0.0099615,           0.0099615
                  27,            0.020921,            0.019706,            0.078073,             0.79076,             0.25094,             0.29382,             0.23259,            0.017685,            0.023557,            0.069608,           0.0099584,           0.0099584,           0.0099584
                  28,             0.02125,            0.020214,            0.076352,             0.79074,             0.25757,             0.31039,             0.22955,            0.018116,            0.023144,            0.068149,           0.0099551,           0.0099551,           0.0099551
                  29,             0.02052,            0.019075,            0.076727,             0.78988,             0.27362,             0.32393,             0.24755,            0.016987,            0.022791,            0.067066,           0.0099517,           0.0099517,           0.0099517
                  30,            0.022276,            0.020047,            0.076265,             0.84215,             0.24109,             0.33215,             0.21308,            0.022013,            0.024776,            0.065694,           0.0099482,           0.0099482,           0.0099482
                  31,            0.024367,            0.020616,            0.075012,             0.74158,             0.33101,             0.36339,             0.27951,             0.01731,            0.023426,            0.064706,           0.0099446,           0.0099446,           0.0099446
                  32,            0.021624,            0.019749,            0.074273,             0.80721,             0.30892,             0.37332,             0.30046,            0.016763,            0.023164,            0.063371,           0.0099409,           0.0099409,           0.0099409
                  33,            0.023518,            0.020608,            0.071226,             0.83887,              0.3167,             0.38953,             0.27857,            0.021618,            0.025332,            0.062059,            0.009937,            0.009937,            0.009937
                  34,            0.022236,            0.020184,            0.069952,             0.83971,             0.31754,             0.39793,             0.28799,            0.019277,            0.024061,            0.060841,            0.009933,            0.009933,            0.009933
                  35,            0.021639,            0.019904,            0.070251,             0.83491,             0.31711,             0.41332,             0.32013,            0.017784,            0.023915,            0.059718,           0.0099289,           0.0099289,           0.0099289
