               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091727,            0.018802,                   0,             0.86019,             0.79983,             0.82499,              0.3733,            0.073511,            0.015481,                   0,             0.00011,             0.00011,             0.09901
                   1,            0.081954,            0.017845,                   0,             0.81545,                0.84,             0.82175,             0.36929,            0.072837,            0.015607,                   0,             0.00023,             0.00023,             0.09793
                   2,            0.075754,            0.021979,                   0,             0.81364,             0.82951,             0.81719,             0.35913,             0.07262,            0.015602,                   0,          0.00034999,          0.00034999,             0.09685
                   3,            0.077474,            0.016376,                   0,             0.84469,             0.81582,             0.81811,             0.35825,            0.072026,            0.015659,                   0,          0.00046997,          0.00046997,             0.09577
                   4,            0.083622,            0.019038,                   0,             0.83798,                0.78,             0.81106,             0.34549,            0.071034,            0.015854,                   0,          0.00058994,          0.00058994,             0.09469
                   5,            0.087717,            0.018813,                   0,             0.83371,                0.81,             0.81449,             0.34845,            0.069505,            0.016099,                   0,          0.00070989,          0.00070989,             0.09361
                   6,            0.087202,            0.018173,                   0,             0.80808,                0.83,             0.81326,             0.34911,            0.068167,            0.016255,                   0,          0.00082982,          0.00082982,             0.09253
                   7,            0.075735,            0.013435,                   0,              0.8125,             0.77999,             0.79979,             0.35661,            0.066864,            0.016432,                   0,          0.00094971,          0.00094971,             0.09145
                   8,            0.072942,            0.017995,                   0,             0.81082,                0.82,             0.82198,             0.33876,            0.064945,            0.016607,                   0,           0.0010696,           0.0010696,             0.09037
                   9,            0.078289,            0.019685,                   0,             0.79041,             0.82965,             0.81389,             0.35186,            0.064044,            0.016631,                   0,           0.0011894,           0.0011894,            0.089289
                  10,             0.08071,             0.02162,                   0,             0.81233,                0.78,              0.8106,               0.371,            0.062202,            0.016781,                   0,           0.0013092,           0.0013092,            0.088209
                  11,            0.073826,            0.020837,                   0,             0.79797,             0.82948,             0.81789,             0.37578,            0.061162,            0.016859,                   0,           0.0014289,           0.0014289,            0.087129
                  12,             0.05662,            0.015973,                   0,             0.80167,                0.81,             0.81418,             0.37981,            0.059913,            0.016939,                   0,           0.0015486,           0.0015486,            0.086049
                  13,            0.062161,             0.01886,                   0,             0.86584,                0.84,             0.82057,             0.35205,            0.059237,            0.016984,                   0,           0.0016683,           0.0016683,            0.084968
                  14,              0.0626,            0.018085,                   0,             0.80566,                0.84,             0.82389,             0.35533,            0.058888,            0.016985,                   0,           0.0017878,           0.0017878,            0.083888
                  15,            0.067258,            0.017984,                   0,             0.87623,                0.85,             0.82946,             0.34622,            0.058411,            0.017013,                   0,           0.0019074,           0.0019074,            0.082807
                  16,            0.059791,            0.016492,                   0,             0.88123,                0.83,             0.82597,             0.38402,            0.057637,            0.017005,                   0,           0.0020268,           0.0020268,            0.081727
                  17,            0.072018,             0.02095,                   0,             0.89132,                0.83,             0.84163,             0.37098,            0.056653,            0.017123,                   0,           0.0021462,           0.0021462,            0.080646
                  18,             0.06119,             0.01727,                   0,             0.80701,                0.84,             0.82112,             0.36224,            0.055614,            0.017182,                   0,           0.0022655,           0.0022655,            0.079565
                  19,             0.05474,            0.015113,                   0,             0.61297,                0.84,              0.7264,             0.32753,            0.055865,            0.017286,                   0,           0.0023847,           0.0023847,            0.078485
                  20,             0.07103,            0.018403,                   0,             0.66633,                0.84,             0.73567,             0.35398,            0.055313,             0.01733,                   0,           0.0025038,           0.0025038,            0.077404
                  21,            0.074764,            0.019898,                   0,             0.73326,                0.77,             0.69984,                0.16,             0.05663,            0.017361,                   0,           0.0026229,           0.0026229,            0.076323
                  22,            0.067618,            0.017286,                   0,             0.86904,                0.67,             0.77673,             0.37459,            0.054162,            0.017303,                   0,           0.0027418,           0.0027418,            0.075242
                  23,            0.062769,            0.018453,                   0,             0.72373,             0.75971,             0.71762,             0.33143,            0.052838,            0.017523,                   0,           0.0028606,           0.0028606,            0.074161
                  24,            0.047147,            0.017094,                   0,              0.7118,             0.83975,             0.73658,             0.35031,            0.053545,            0.017415,                   0,           0.0029794,           0.0029794,            0.073079
                  25,            0.068728,            0.021244,                   0,              0.7774,                0.84,             0.76468,             0.36034,            0.052545,             0.01739,                   0,            0.003098,            0.003098,            0.071998
                  26,            0.060952,            0.017634,                   0,             0.65821,                0.64,             0.64388,             0.24754,            0.055134,            0.017285,                   0,           0.0032166,           0.0032166,            0.070917
                  27,            0.071811,            0.017569,                   0,             0.74991,             0.65968,             0.68888,             0.15147,            0.052347,            0.017574,                   0,            0.003335,            0.003335,            0.069835
